BT 101,3,0,0,6
BT 201,2,1,0,6
BT 202,2,1,0,6
BT 203,3,0,0,6
BT 204,3,0,0,6
BT 205,3,0,0,6
BT 206,3,0,0,6
BT 207,3,0,0,6
BT 208,3,0,0,6
BT 209,3,0,0,6
BT 202M,3,0,0,6
BT 201M,3,0,0,6
BT 211,0,0,6,6
BT 302M,3,0,0,6
BT 304,3,0,0,6
BT 305,2,2,0,6
BT 306,3,0,2,8
BT 307,2,0,2,6
BT 308,3,0,0,6
BT 402,0,0,6,6
BT 502,3,0,0,6
BT 504,3,0,0,6
BT 522,3,0,0,6
BT 523,3,0,0,6
BT 524,3,0,0,6
BT 540,0,0,3,3
BT 601,3,0,0,6
BT 607,3,0,0,6
BT 608,3,0,0,6
BT 616,3,0,0,6
BT 619,3,0,0,6
BT 624,3,0,0,6
BT 630,3,0,0,6
BT 634,3,0,0,6
BT 638,3,0,0,6
BT 640,3,0,0,6
BT 651,3,0,0,6
BT 699,0,0,24,24
CE 201,3,0,0,6
CE 205,3,0,0,6
CE 206,3,0,0,6
CE 213,0,0,2,2
CE 215,0,0,2,2
CE 220,3,0,0,6
CE 221,0,0,2,2
CE 222,3,0,0,6
CE 223,0,0,2,2
CE 308,3,0,0,6
CE 309,3,1,0,8
CE 320,3,0,0,6
CE 321,0,0,2,2
CE 322,3,0,0,6
CE 323,0,0,2,2
CE 324,3,1,0,8
CE 499,0,0,6,6
CE 504,3,0,0,6
CE 510,3,0,0,6
CE 511,3,0,0,6
CE 524,3,0,0,6
CE 525,3,0,0,6
CE 533,3,1,0,8
CE 534,0,0,2,2
CE 544,0,0,3,3
CE 550,0,0,24,24
CE 555,2,0,2,6
CE 556,3,0,0,6
CE 559,3,0,0,6
CE 562,3,0,0,6
CE 570,3,0,0,6
CE 573,3,0,0,6
CE 583,3,0,0,6
CE 584,3,2,0,8
CE 585,3,0,0,6
CE 594,3,0,0,6
CE 595,2,0,2,6
CE 599,0,0,24,24
CE 606,3,0,0,6
CE 607,3,0,0,6
CE 608,3,0,0,6
CE 609,3,0,0,6
CE 612,3,0,0,6
CE 615,3,0,0,6
CE 616,3,0,0,6
CE 618,3,0,0,6
CE 622,3,0,0,6
CE 623,3,0,0,6
CE 628,3,0,0,6
CE 641,3,0,0,6
CE 643,3,0,0,6
CE 646,3,0,0,6
CE 648,3,0,0,6
CE 661,3,0,0,6
CE 691,3,0,0,6
CE 693,3,0,0,6
CE 695,3,0,0,6
CE 697,3,0,0,6
CH 211,3,0,0,6
CH 222,3,0,0,6
CH 223,0,0,6,6
CH 224,3,0,0,6
CH 233,3,0,0,6
CH 323,3,0,0,6
CH 332,3,0,0,6
CH 334,0,0,6,6
CH 335,3,0,0,6
CH 400,2,0,2,6
CH 411,3,1,0,8
CH 418,3,0,0,6
CH 419,3,0,0,6
CH 421,3,1,0,8
CH 425,0,0,9,9
CH 428,3,0,0,6
CH 432,3,1,0,8
CH 433,3,1,0,8
CH 437,3,0,0,6
CH 438,3,0,0,6
CH 499,0,0,24,24
CH 500,0,0,2,2
CH 600,0,0,18,18
CH 613,3,0,0,6
CH 617,3,0,0,6
CH 618,3,0,0,6
CH 621,3,0,0,6
CH 623,3,0,0,6
CH 627,3,0,0,6
CH 629,3,0,0,6
CH 631,3,0,0,6
CH 639,3,0,0,6
CH 644,3,0,0,6
CL 205,3,1,0,8
CL 206,3,0,0,6
CL 207,2,1,2,8
CL 208,2,1,0,6
CL 209,1,0,3,5
CL 210H,0,0,3,1.5
CL 211H,0,0,3,1.5
CL 304,3,0,0,6
CL 305,2,1,0,6
CL 306,2,1,0,6
CL 312,0,0,3,3
CL 313,0,0,3,3
CL 499,0,0,12,12
CL 503,3,0,0,6
CL 504,3,0,0,6
CL 505,3,0,0,6
CL 506,3,0,0,6
CL 514,3,0,0,6
CL 598,0,0,3,3
CL 599,0,0,2,2
CL 612,3,0,0,6
CL 617,3,0,0,6
CL 618,3,0,0,6
CL 622,3,0,0,6
CL 625,3,0,0,6
CL 626,3,0,0,6
CL 628,3,0,0,6
CL 633,3,0,0,6
CL 643,2,0,2,6
CL 650,3,0,0,6
CL 653,3,0,0,6
CL 654,3,0,0,6
CL 699,0,0,24,24
CS 101,3,0,0,6
CS 110,0,0,3,3
CS 205,3,0,0,6
CS 206M,3,0,0,6
CS 207,3,0,0,6
CS 223,3,0,0,6
CS 224,0,1,4,6
CS 245,3,0,0,6
CS 246,0,0,4,4
CS 321,0,0,3,3
CS 331,0,0,3,3
CS 345,2,0,0,4
CS 346,0,0,3,3
CS 348,0,2,3,7
CS 350M,3,0,0,6
CS 361,3,0,0,6
CS 499,0,0,12,12
CS 503,3,0,0,6
CS 509,3,0,0,6
CS 528,3,0,0,6
CS 549,3,0,0,6
CS 558,3,0,0,6
CS 564,3,0,0,6
CS 570,3,0,2,8
CS 577,3,0,0,6
CS 595,0,0,3,3
CS 699,0,0,24,24
DA 213,0,0,3,3
DA 214,3,0,0,6
DA 215,0,0,3,3
DA 221,2,0,2,6
DA 221M,3,0,0,6
DA 243,3,0,0,6
DA 244,3,0,0,6
DA 526,3,0,0,6
DA 623,3,0,0,6
DA 671,3,0,0,6
DD 111,1,1,4,8
DD 113,0,0,6,6
DD 203,1,0,4,6
DD 212,1,0,4,6
DD 213,2,0,2,6
DD 214,0,0,2,2
DD 215,2,0,2,6
DD 220M,3,0,0,6
DD 302,2,0,2,6
DD 303,0,2,4,8
DD 311,2,0,4,8
DD 312,1,2,0,6
DD 320M,3,0,0,6
DD 324,1,0,4,6
DD 325,0,1,4,6
DD 411,1,3,0,8
DD 499,0,2,12,16
DD 505,3,0,0,6
DD 506,3,0,0,6
DD 507,3,0,0,6
DD 509,3,0,0,6
DD 517,3,0,0,6
DD 521,3,0,0,6
DD 523,3,0,0,6
DD 524,3,0,0,6
DD 532,3,0,0,6
DD 536,3,0,0,6
DD 546,3,0,0,6
DD 547,3,0,0,6
DD 549,3,0,0,6
DD 552,3,0,0,6
DD 554,3,0,0,6
DD 555,3,0,0,6
DD 557,3,0,0,6
DD 605,3,0,0,6
DD 606,3,0,0,6
DD 607,3,0,0,6
DD 705,3,0,0,6
DD 709,3,0,0,6
DD 710,3,0,0,6
EE 102,0,0,3,3
EE 206,3,1,0,8
EE 207,0,0,3,3
EE 213M,3,0,0,6
EE 230,3,1,0,8
EE 250,3,1,0,8
EE 252,3,0,0,6
EE 253,0,0,3,3
EE 313,0,0,3,3
EE 322M,3,0,0,6
EE 332,3,0,0,6
EE 333,0,0,3,3
EE 334,3,0,0,6
EE 335,3,0,0,6
EE 336,3,0,0,6
EE 352,3,0,0,6
EE 360,3,0,0,6
EE 370,3,0,0,6
EE 371,0,0,3,3
EE 381,0,0,3,3
EE 390,2,0,2,6
EE 396,0,0,6,6
EE 399,0,0,0,3
EE 499,0,0,6,6
EE 512,3,0,0,6
EE 515,3,0,0,6
EE 516,3,0,0,6
EE 517,0,0,4,4
EE 518,0,0,4,4
EE 521,0,0,3,3
EE 522,3,0,0,6
EE 525,3,0,0,6
EE 526,3,0,0,6
EE 527,3,0,0,6
EE 533,3,0,0,6
EE 534,0,0,3,3
EE 535,3,0,0,6
EE 540,3,0,0,6
EE 548,0,0,3,3
EE 549,3,0,0,6
EE 553,3,0,0,6
EE 554,3,0,0,6
EE 555,0,0,3,3
EE 557,3,0,0,6
EE 562,3,0,0,6
EE 572,0,0,3,3
EE 580,3,0,0,6
EE 592,3,0,0,6
EE 595H,3,0,0,3
EE 596H,3,0,0,3
EE 602,3,0,0,6
EE 613,3,0,0,6
EE 620,3,0,0,6
EE 622,3,0,0,6
EE 624,3,0,0,6
EE 626,3,0,0,6
EE 632,3,0,0,6
EE 633,3,0,0,6
EE 640,3,0,0,6
EE 643,3,0,0,6
EE 647,3,0,0,6
EE 665,3,0,0,6
EE 674,3,0,0,6
EE 694,3,0,0,6
EE 699,0,0,24,24
HS 107,3,0,0,6
HS 116,3,0,0,6
HS 125,3,0,0,6
HS 128,3,0,0,6
HS 134,3,0,0,6
HS 135,3,0,0,6
HS 136,3,0,0,6
HS 138,3,0,0,6
HS 155,3,0,0,6
HS 156,3,0,0,6
HS 161,3,0,0,6
HS 200,3,0,0,6
HS 207,3,0,0,6
HS 216,3,0,0,6
HS 222,3,0,0,6
HS 232M,3,0,0,6
HS 233,3,0,0,6
HS 235,3,0,0,6
HS 239,3,0,0,6
HS 242,3,0,0,6
HS 244,3,0,0,6
HS 248,3,0,0,6
HS 251,3,0,0,6
HS 252,3,0,0,6
HS 320M,3,0,0,6
HS 503,3,1,0,8
HS 506,3,0,0,6
HS 513,3,0,0,6
HS 517,3,1,0,8
HS 523,3,1,0,8
HS 524,3,1,0,8
HS 525,3,1,0,8
HS 551,3,0,0,6
HS 553,3,0,0,6
HS 556,3,0,0,6
HS 559,3,0,0,6
HS 561,3,0,0,6
HS 563,3,0,0,6
HS 564,3,0,0,6
HS 565,3,0,0,6
HS 603,3,0,0,6
HS 699,0,0,6,6
HS 702,3,0,0,6
HS 703,3,0,0,6
